Title,Company,Info
Middle Big Data Engineer,"Vodafone Україна  
										","Vodafone Україна - компанія світового рівня, що займає провідні позиції у сфері нових технологій. Щодня ми працюємо над впровадженням амбітних проектів з Cloud Services, Big Data, IoT, Smart City. ; ;З..."
Software Engineer (Python) (Aviation Domain),"Sigma Software 
										",We ;welcome a ;Software Engineer (Python) to ;be ;a ;part of ;our experienced team working with the best airlines in ;the world. Join our team in ;Ukraine if ;you like to ;facilitate people's lives! ;PROJECTThe...
"Senior Python Developer, Rental Platform","DataArt 
										","Our client developed a platform for real estate agents. The service allows to distribute ads on social networks, track user activity, and manage them on a single cloud platform. ;DataArt's specialists..."
Преподаватель Python,"Шаг, Компьютерная Академия 
										","Компьютерная Академия ШАГ - крупнейшее международное учебное заведение, специализирующееся на компьютерном образовании. Работаем с 1999 года. Открыто 72 филиала в 18 странах мира.ШАГ - крупнейший авторизованный..."
Інженер CI/CD (DevOps),"Альфа-Банк 
										","Альфа-Банк Україна вже багато років допомагає у досягненні цілей та реалізації мрій! Ми надаємо сучасні банківські рішення для клієнтів усіх сегментів: від приватних осіб до мега-холдингів, будучи одним..."
Middle Python Developer (World of Tanks Kyiv),"Wargaming / Persha Studia 
										",World of Tanks Kyiv is looking for a Middle Python Engineer to join the Team on a full-time basis. As an Engineer you will be focusing on development of new features and modes for World of Tanks. It will...
Junior Software Developing Engineer,"Huawei Ukraine LLC / Хуавей Україна, ТОВ 
										","About Huawei Technologies Ukraine Huawei is a global leader of ICT solutions. Continuously innovating based on customer needs, we are committed to enhancing customer experiences and creating maximum value..."
Middle/Senior Full Stack Backend Developer (IRC80507),"GlobalLogic Ukraine 
										","GlobalLogic Ukraine is inviting a Middle/Senior Full Stack Backend Developer ;to join its Kyiv office.Cambium Networks is a dynamic, growth-oriented company serving an exponentially growing industry.Cambium..."
Senior Python Back End Developer,"MeekoTeams 
										","About:working product that we are continuously developingbackend runs on AWS EC2s, we have CI/CD that deploys new versions automaticallydatabases are mostly AWS RDS running postgresql, we have a couple..."
Junior Python-разработчик,"Profit Center FX  
										","Привет! Обычно здесь пишут о достижениях и великолепии компании, но это те вещи, о которых нужно не говорить, а показывать на деле. Я вам предлагаю ознакомиться с описанием вакансией, ""примерить"" на себя,..."
Full Stack Python Developer,"Sigma Software 
										",We are looking for an experienced Full Stack Python Developer to join our company listed in The Global Outsourcing 100 ranking. ;Together we are developing a wide set of projects starting from enterprise...
Python SW Engineer #6797,"Lohika 
										","PURPOSE OF THE JOBTake part in implementation of backend subsystem, which isdealing with different data sources service and exporting dataanalyzing and aggregating datacreating and providing API for front-end..."
Big Data Software Engineer,"SoftServe 
										","WE ARE ;SoftServe is transforming the way thousands of global organizations do business by developing the most innovative technologies and processes in Big Data, Internet of Things (IoT), Data Science..."
Middle Python developer,"Альфа-Банк 
										","Альфа-Банк Україна вже багато років допомагає у досягненні цілей та реалізації мрій! Ми надаємо сучасні банківські рішення для клієнтів усіх сегментів: від приватних осіб до мега-холдингів, будучи одним..."
QA (Python),"ТIЕС ТЕХ, ТОВ 
										","Кто мы:Продуктовая IT компания, находящаяся на рынке более 7 лет. Наш штат состоит из 120+ сотрудников и таких отделов как: веб-разработка, мобильная разработка, QA, отдел веб-мастеров, Frontend-разработка,..."
Senior Software Engineer with excellent background in Python / Инженер-программист,"Волинець В.Ю., ФЛП 
										","Необходимые навыки ;опыт в построении, разработке и поддержке высоконагруженных системБудет плюсомопыт разработки в проектах, связанных с логистикой и геолокациейПредлагаемFull-time работа в офисе (район..."
Risk Analyst,"Moneyveo 
										","About the product:Moneyveo is a fast growing product company. Our primary product is an online credit system (moneyveo.com), allowing customer to get a loan online within 10 minutes.Risk Service is one..."
Начальник відділу (відділ розробки програмного забезпечення та інтеграції),"НЕК Укренерго, ДП 
										",Національна енергетична компанія «Укренерго» запрошує прийняти участь в конкурсі на заміщення вакантної посади ;Начальник відділу розробки програмного забезпечення та інтеграції ; ;Основні завдання:Організація...
Data scientist,"ПриватБанк 
										","Подивіться, які цікаві задачі очікують на ;Вас:задачі з ;текстової аналітики: використання тематичних моделей для виділення тем в діалогах \ відгуках \ коментарях;задачі з ;computer vision: ідентифікація..."
"Senior Python (Team Lead) Developer, Global Recorded Music Company","DataArt 
										","Our client is a global music and entertainment industry conglomerate headquartered in the US with offices in over 40 countries. ;Currently, the company plans to expand the team and run the following projects:..."
Python developer,"Developex 
										",Необходимые навыки:- ;1+ ;years of ;experience in ;Python development;- ;Experience in ;SQLQuery;- ;Experience with Linux;- ;Experience and/or understanding of ;work with external REST API; ;Будет плюсом-...
Middle QA Automation (Python) for DWH Team,"PMLAB 
										",You will be ;involved ;in:Participation in development of test automation framework architecture;Maintaining automated testing frameworks;Requirements analysis;Automation of regression and other functional...
Automation QA Engineer (Python) for Moon Active,"Ciklum 
										","On behalf of ;Moon Active, we are looking for experienced ;Automation QA Engineer (Python) ;to join Kyiv team on a full-time basis and to help create awesome games at a company that puts quality at the..."
Python Lead,"BINTIME 
										",ABOUT USBINTIME is an IT software development company founded in 2005. During last years about 100 experts joined our company. Operating in 3 cities with the center in the heart of Ukraine we have established...
Тренер в IT-академию,"Main Academy 
										","Учебный центр MainAcademy - крупнейший по рейтингу Dou.ua лидер на рынке IT-обучения Украины. 100% наших тренеров - это практикующие программисты. Мы выпустили более 8000 специалистов, которые успешно..."
Python Developer,"Beetroot  
										","Our client is a genomics company with a focus on interpreting genetic diseases. Their product is a next generation genomics intelligence platform, incorporating the most advanced artificial intelligence..."
Data Science Engineer,"App Development Studio 
										","Data Science EngineerКиїв, Україна ;Ми - digital лабораторія з розробки мобільних ігор. Наші проекти - це результат взаємодії талановитих, розумних і наполегливих людей, ідей та новітніх технологій. Ми..."
Big Data Solution Architect,"EPAM / Epam Systems 
										","Today we are a global team of technologists and thinkers, who help transform the world with the power of software, enabling our customers to be competitive and disruptive in the marketplace through innovative..."
Senior Game Developer,"Huuuge Games Sp. z o.o. 
										","Huuuge Games ;- We're a global, fast-moving hyper-growing free-to-play game developer & publisher on a mission to empower billions of people to play together. ;Join ;Huuuge Games ;and get your ticket..."
Middle DevOps Engineer,"Innovecs 
										","The product focuses on ;financial instruments and our aim is ;to ;deliver services to ;facilitate both day-to-day operations and special needs of ;consumers, using modern highly-automated cloud infrastructure,..."
Python Developer,"JeraSoft 
										","JeraSoft is a leading developer and integrator of high-quality Billing solutions for Telecom (Retail Services, Mobile VoIP, Business Telephony, OTT, Wholesale VoIP and SMS) and IoT/M2M Providers around..."
Junior Data Analyst,"IT-Star 
										","IT-Star ;- продуктовая IT-компания, которая уже более 10 лет занимается разработкой и ;продвижением инновационных проектов в ;сфере eCommerce на ;западные рынки. ;Приглашаем в свою команду Junior Data..."
Regular\Senior Big Data developer (Python),"Luxoft 
										","ОПИСАНИЕ ПРОЕКТА: ;Проект занимается разработкой программы лояльности и кросс-продажами, а также построением технологии real time marketing для автоматизации банковских продаж on-line.Задачи предполагают..."
"Senior Python Developer, Investment Management Services","DataArt 
										","DataArt's client is a US-based international investment company. It has representative offices in the UK, Singapore, and Australia. The uniqueness of this company's business model is in combining expertise..."
Senior DevOps Engineer (Python/SQL/Linux),"EPAM / Epam Systems 
										","Today we are a global team of technologists and thinkers, who help transform the world with the power of software, enabling our customers to be competitive and disruptive in the marketplace through innovative..."
Mathematician,"Playson 
										",Playson is a leading online gaming supplier with a worldwide recognition which was founded in 2012. We offer complete gaming solutions based on the latest technologies and detailed market analysis for...
"Senior Python Developer, Music Publishing Administration Software","DataArt 
										",The client is a global digital rights management platform. Its services allow songwriters and artists to manage their music publishing and related rights. The platform has enabled the collection of royalties...
Middle Python developer,"STARNAVI 
										",Starnavi is looking for a Middle Python developer to join our friendly team! We expect you to participate in both commercial and open-source projects. You should be ready to learn as we have team players...
C# разработчик со знаниями основ ML,"Profit Center FX  
										","Привет! Обычно здесь пишут о достижениях и великолепии компании, но это те вещи, о которых нужно не говорить, а показывать на деле.Я вам предлагаю ознакомиться с описанием вакансией, ""примерить"" на себя,..."
Junior Automation QA (Python) Engineer (IRC76821),"GlobalLogic Ukraine 
										",GlobalLogic Ukraine is inviting a Junior Automation QA (Python) Engineer ;to join its Kyiv office.We are looking for Junior Automation Engineer with a passion for all aspects automation framework development....
Middle/Senior QA Automation Engineer (Python) (IRC77812),"GlobalLogic Ukraine 
										","GlobalLogic Ukraine is inviting a Middle/Senior QA Automation Engineer (Python) ;to join its Kyiv office.Our Customer provides end-to-end WiFi surveillance solutions for the intelligence, homeland security,..."
Software Engineer (Portal),"Playtech 
										","Company Description ;Playtech develops unified software platforms and content for the online and land-based gaming industry, together with providing a range of ancillary services such as marketing, hosting..."
Middle Python Developer,"LabsTech 
										","Requirements:2+ ;years experience in ;Software Development using Python ;Experience with Cloud TechnologiesUnderstanding of ;JavaScript ;Degree in ;Computer Science or ;equivalent ;Strong analytical skills,..."
Software / Data Integrator,"Zoral 
										","Zoral Labs, a leading provider of research and development to the software industry, is searching for a Software/Data Integrator for its development center in Kiev. ;We are looking for an engineer to design,..."
Data analyst (E-commerce Product),"Genesis 
										","Генезис - одна из крупнейших IT-компаний в Украине и одна из самых сильных высокотехнологичных команд в Восточной Европе. Мы - это более 1000 человек в 8 странах, которые создают продукты для 200 миллионов..."
Automation QA Engineer (Python),"Playson 
										",Playson is ;a ;leading online gaming supplier with a ;worldwide recognition which was founded in ;2012. We ;offer complete gaming solutions based on ;the latest technologies and detailed market analysis...
Аналитик портфеля/риск аналитик,"КФ.ЮА., ООО 
										",В связи с развитием компании объявляем конкурс на позицию Аналитик кредитного портфеля/риск аналитик ;Требования:Высшее образование (математика/кибернетика/экономика/финансы);Опыт работы в области потребительского...
Middle Python developer,"ТIЕС ТЕХ, ТОВ 
										","Кто мы?Продуктовая IT компания, находящаяся на рынке более 5 лет. Наш штат состоит из 100+ сотрудников и таких отделов как: веб-разработка, мобильная разработка, QA, отдел вебмастеров, frontend-разработка,..."
"Gameplay Programmer, WoWP","Wargaming / Persha Studia 
										",Wargaming is growing their Kiev based development studio and we're looking for a Gameplay Programmer to work on new and exciting features for our free-to-play MMO title World of Warplanes.As an engineer...
Junior actuarial business analyst,"Deloitte 
										","Deloitte is seeking an Actuarial business analyst to join the Financial Services Institutions group within the Risk Advisory Department at the Kyiv office. ;If a path doesn't exist, create your own.Deloitte..."
Senior Python Developer (World of Tanks),"Wargaming / Persha Studia 
										",World of Tanks Kyiv is looking for a Senior Python Engineer to join the Team on a full-time basis. As an Engineer you will be focusing on development of new features and modes for World of Tanks. It will...
Senior DBA,"М.М.Д СМАРТ УКРАЇНА, ТОВ 
										","We are looking for a Database Administrator to work with our products and make our R&D Team even stronger. ;Your responsibility as a Database Administrator will be the performance, integrity and security..."
Wireless QA Engineer,"Ubiquiti Networks 
										","Ubiquiti Networks is an American technology company started in 2005. Based in New York, NY, Ubiquiti manufactures wireless data communication products for enterprise and wireless broadband providers with..."
